px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
66.1706	23.9432	2.57164	0.207567	-0.0116766	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	615683
68.2785	24.3625	2.3598	0.195611	-0.0141437	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	22055.5
68.3643	24.3944	2.54334	0.212136	0.00473166	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	639901
70.8063	24.8786	2.8143	0.213038	0.00547735	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	23935.3
70.7528	24.8556	2.43536	0.18998	-0.0350598	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	665296
72.9029	24.7264	2.30599	-0.164654	-0.278467	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	24686.5
72.9505	24.7457	2.39614	-0.149385	-0.259017	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	659831
75.0107	25.2304	2.00077	0.337655	0.29986	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	19014.2
75.0036	25.2242	2.04	0.331202	0.292553	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	686555
77.1142	24.9646	1.93798	-0.295452	-0.39808	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	29355.2
77.1368	24.9756	1.99241	-0.290426	-0.388063	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	673400
79.088	25.0062	1.87393	0.137255	0.234009	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	20712.7
79.0958	25.012	1.83356	0.142609	0.238408	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	676143
80.8079	24.8881	1.80567	-0.0725736	-0.094539	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	30171.2
80.8517	24.8923	1.7306	-0.0972719	-0.140741	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	670021
82.6001	24.6371	2.00445	-0.157009	-0.0702516	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	26027.6
82.5734	24.6241	1.79634	-0.207801	-0.143829	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	655825
84.1683	24.5367	1.7392	0.00718337	0.116264	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	25701.7
84.1701	24.5393	1.65382	0.000759585	0.103322	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	651956
85.6463	23.8382	1.60529	-0.59564	-0.399265	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	30383.4
85.7086	23.8721	1.78644	-0.519151	-0.292664	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	617288
86.9531	23.4977	1.29161	-0.346868	0.0288854	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	24665.4
87.0673	23.5319	1.35336	-0.262517	0.09541	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	600066
88.7768	22.8078	2.10936	-0.488042	-0.126742	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	30240.2
88.7065	22.7749	1.92959	-0.59843	-0.262004	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	562073
89.5474	22.2702	0.961637	-0.693571	-0.210316	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	26310.5
89.6181	22.283	1.15323	-0.60885	-0.107643	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	538231
90.5035	21.6639	1.21002	-0.588708	-0.0123169	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	33269.2
90.5903	21.686	1.33224	-0.474881	0.0914947	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	509806
91.71	21.1164	1.44006	-0.364364	0.107832	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	30989.8
91.7603	21.1282	1.27957	-0.391122	0.0328094	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	484047
92.853	20.9389	1.23063	-0.0312243	0.257986	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	33300.2
92.917	20.9637	1.06723	-0.00133885	0.261993	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	476865
93.5072	20.2768	0.521293	-0.728444	-0.393519	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	36385.1
93.5868	20.3241	0.941712	-0.602286	-0.231273	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	448217
95.2192	19.6703	2.08596	0.0304283	0.384268	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	35806.4
95.0263	19.677	1.25947	-0.267215	0.144185	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	420222
95.5543	19.6811	0.571842	0.0776175	0.273848	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	35595
95.5759	19.6777	0.742676	0.0852782	0.286643	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	420462
96.2584	19.2288	0.622495	-0.650743	-0.376063	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	37812.9
96.3145	19.2655	0.894045	-0.542003	-0.252336	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	403331
97.4653	18.7354	1.57937	-0.290886	0.0913898	97.5286	18.727	97.45	18.506	0.868716	-0.503009	38422.9
